% Model,RLM_v11.mph
% Version,COMSOL 4.3.0.151
% Date,"Nov 17 2015, 11:00"
% Table,Table 3 - Phase A Flux Linkage (-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2))
% Im,-Az*nc*(L+5*taus+Lec)/(bs*hs*kfill/2) (Wb)
-2.5,-0.07688079996558676
-2.3,-0.07161247216513239
-2.1,-0.06631179214811907
-1.9,-0.060901159857272166
-1.7,-0.05554388235674677
-1.5,-0.04995634786935772
-1.2999999999999998,-0.044312392781128244
-1.0999999999999999,-0.03842898301789455
-0.8999999999999999,-0.03201533887430278
-0.7,-0.025039382929662263
-0.5,-0.017915682869717293
-0.2999999999999998,-0.010749409721830373
-0.09999999999999964,-0.0035831365739432256
0.10000000000000009,0.0035831365739432473
0.30000000000000027,0.01074940972183037
0.5,0.01791568286971735
0.7000000000000002,0.025039383345938936
0.9000000000000004,0.03198550156205601
1.1,0.03838178223246706
1.3000000000000003,0.04431237347659268
1.5,0.04998697059639701
1.7000000000000002,0.05551473623767854
1.9000000000000004,0.06090476174095364
2.1000000000000005,0.06626775519043966
2.3000000000000007,0.07161211527378875
2.5,0.07687977591710485
